osm_id,osm_type,health_facility_type,access,toilets_disposal,staff_count_doctors,operator,toilets_handwashing,status,name,health_facility_level,opening_hours,operator_type,medical_system_western,staff_count_nurses,health_facility_bed,amenity,longitude,latitude,geom_type
6080195112,nodes,,,,,,,,Advanced Massage Therapy Clinic,,,,,,,clinic,-75.7575171,45.2864019,POINT
6015801778,nodes,,,,,,,,Akausivik Inuit Family Health Team,,,,,,,clinic,-75.6630316,45.4328835,POINT
6665870098,nodes,,,,,,,,Osgoode Family Dental,,,,,,,dentist,-75.6035931,45.149225,POINT
6579207887,nodes,,,,,,,,Manotick Counselling,,,,,,,doctors,-75.6843172,45.2259733,POINT
6704010006,nodes,,,,,,,,Dre. Denise Oeullet,,,,,,,doctors,-75.762978,45.4270455,POINT
6704010008,nodes,,,,,,,,Elite Group Dentaire,,,,,,,dentist,-75.7630786,45.4272262,POINT
6462980372,nodes,,,,,,,,Dr. Jack Charbonneau,,,,,,,doctors,-75.7307661,45.4312488,POINT
7341573275,nodes,,,,,,,,Costco Pharmacy,,,,,,,pharmacy,-75.7224606,45.3374245,POINT
5665009021,nodes,,,,,,,,Royal Crown Dental Clinic,,,,,,,dentist,-75.7251301,45.3376616,POINT
6719002792,nodes,,,,,,,,Clinique dentaire Place du Centre,,,,,,,dentist,-75.7141413,45.4267415,POINT
6149859138,nodes,,,,,,,,CLSC,,,,,,,clinic,-75.9496368,45.8092249,POINT
6678055874,nodes,,,,,,,,Shoppers Drug Mart,,,,,,,pharmacy,-74.7253305,45.0162973,POINT
12335844729,nodes,,,,,,,,Pharmacie Plateau,,,,,,,pharmacy,-75.7670253,45.4366411,POINT
6630164149,nodes,,,,,,,,Clinique Santé Sexualité du Plateau,,,,,,,doctors,-75.7845544,45.4380001,POINT
6630164150,nodes,,,,,,,,Somnocor,,,,,,,doctors,-75.7846583,45.4379945,POINT
7039216386,nodes,,,,,,,,Clinique Santé-Plus de l'Outaouais,,,,,,,doctors,-75.6883502,45.4905492,POINT
7039218582,nodes,,,,,,,,"Jean Hébert, d.d.",,,,,,,dentist,-75.6872889,45.4901657,POINT
5947441353,nodes,,,,,,,,Pro Physio,,,,,,,clinic,-75.6207486,45.4311058,POINT
5799646292,nodes,,,,,,,,VitalAire,,,,,,,clinic,-75.6325952,45.4080958,POINT
5874367886,nodes,,,,,,,,National Orthotics Lab,,,,,,,clinic,-75.6427681,45.4143076,POINT
591866032,ways_poly,,,,,,,,Orleans Orthodontics,,,,,,,dentist,-75.48732795,45.4591991,POLYGON
591869358,ways_poly,,,,,,,,Healing Hands Massage Therapy,,,,,,,clinic,-75.4875226667046,45.4574967999762,POLYGON
709287229,ways_poly,,,,,,,,Familiprix,,,,,,,pharmacy,-75.6407877236341,45.5016945472902,POLYGON
672562806,ways_poly,,,,,,,,Clinique Dentaire Lorraine,,,,,,,dentist,-75.6107497958913,45.5051154779101,POLYGON
671959566,ways_poly,,,,,Martin Beaucage,,,Uniprix,,"Mo-Fr 09:00-21:00; Sa-Su 09:00-18:00",,,,,pharmacy,-75.5964614038847,45.4894797435953,POLYGON
478555839,ways_poly,,,,,,,,Cedarview Physiotherapy & Wellness,,Mo-Fr 07:00-20:00,,,,,clinic,-75.7682546694308,45.2604434499275,POLYGON
